key,zh-TW,en,es,de,th,fr
nav.title,RO 計算機,RO Calculator,Calculadora RO,RO-Rechner,เครื่องคำนวณ RO,Calculateur RO
nav.allsetlist,配置清單,Saved Builds,Configuraciones guardadas,Gespeicherte Builds,บิลด์ที่บันทึกไว้,Builds enregistrés
nav.savecfg,儲存配置,Save Build,Guardar configuración,Build speichern,บันทึกบิลด์,Enregistrer le build
nav.loadcfg,讀取配置檔案,Load Build File,Cargar archivo de configuración,Build-Datei laden,โหลดไฟล์บิลด์,Charger un fichier de build
nav.about,關於,About,Acerca de,Über,เกี่ยวกับ,À propos
nav.donate,贊助,Donate,Donar,Spenden,สนับสนุน,Faire un don
nav.thanks,協力,Contributors,Colaboradores,Mitwirkende,ผู้ร่วมพัฒนา,Contributeurs
nav.updatelog,更新紀錄,Update Log,Registro de actualizaciones,Änderungsprotokoll,บันทึกการอัปเดต,Journal des mises à jour
weaponr,主手,Main Hand,Mano principal,Haupthand,มือหลัก,Main principale
weaponl,副手,Off Hand,Mano secundaria,Nebenhand,มือรอง,Main secondaire
helm,頭飾,Headgear,Accesorio de cabeza,Kopfausrüstung,เครื่องสวมศีรษะ,Coiffe
helm1,頭中,Headgear (Mid),Accesorio de cabeza (medio),Kopfausrüstung (Mitte),เครื่องสวมศีรษะ (กลาง),Coiffe (Milieu)
helm2,頭下,Headgear (Lower),Accesorio de cabeza (inferior),Kopfausrüstung (Unten),เครื่องสวมศีรษะ (ล่าง),Coiffe (Bas)
armor,衣服,Body Armor,Armadura,Rüstung,เกราะ,Armure
robe,披肩,Garment,Capa,Umhang,ผ้าคลุม,Cape
shoes,靴子,Footgear,Calzado,Schuhe,รองเท้า,Chaussures
acc1,飾品,Accessory,Accesorio,Accessoire,เครื่องประดับ,Accessoire
acc2,飾品,Accessory,Accesorio,Accessoire,เครื่องประดับ,Accessoire
shadow,影子,Shadow Gear,Equipo sombrío,Schattenausrüstung,อุปกรณ์ชาโดว์,Équipement de l'ombre
costume,服飾,Costume,Traje,Kostüm,คอสตูม,Costume
cardset,套卡,Card Set,Conjunto de cartas,Kartenset,ชุดการ์ด,Ensemble de cartes
other,自訂,Custom,Personalizado,Benutzerdefiniert,กำหนดเอง,Personnalisé
weaponrcard,武器卡片,Weapon Card,Carta de arma,Waffenkarte,การ์ดอาวุธ,Carte d'arme
weaponlcard,武器卡片,Weapon Card,Carta de arma,Waffenkarte,การ์ดอาวุธ,Carte d'arme
helmcard,頭飾卡片,Headgear Card,Carta de cabeza,Kopfausrüstungskarte,การ์ดเครื่องสวมศีรษะ,Carte de coiffe
helm1card,頭飾卡片,Headgear Card,Carta de cabeza,Kopfausrüstungskarte,การ์ดเครื่องสวมศีรษะ,Carte de coiffe
helm2card,頭飾卡片,Headgear Card,Carta de cabeza,Kopfausrüstungskarte,การ์ดเครื่องสวมศีรษะ,Carte de coiffe
armorcard,衣服卡片,Armor Card,Carta de armadura,Rüstungskarte,การ์ดเกราะ,Carte d'armure
robecard,披肩卡片,Garment Card,Carta de capa,Umhangkarte,การ์ดผ้าคลุม,Carte de cape
shoescard,靴子卡片,Footgear Card,Carta de calzado,Schuhkarte,การ์ดรองเท้า,Carte de chaussures
acc1card,飾品卡片,Accessory Card,Carta de accesorio,Accessoire-Karte,การ์ดเครื่องประดับ,Carte d'accessoire
